Iterations,Error,Accuracy
249,0.624328,0.345636
250,0.624778,0.348875
251,0.6499,0.352038
252,0.653161,0.355242
253,0.621833,0.358495
254,0.606149,0.361688
255,0.607982,0.36479
256,0.599096,0.367771
257,0.630534,0.370693
258,0.627956,0.373647
259,0.619625,0.376572
260,0.620958,0.379537
261,0.618995,0.382485
262,0.600671,0.385353
263,0.591277,0.388214
264,0.600311,0.390992
265,0.685397,0.393616
266,0.600238,0.396203
267,0.599126,0.398722
268,0.596084,0.401322
269,0.581682,0.403901
270,0.585013,0.406248
271,0.57917,0.408546
272,0.595954,0.411
273,0.573845,0.413531
274,0.581253,0.416202
275,0.547679,0.418909
276,0.580834,0.421608
277,0.57095,0.424185
278,0.56111,0.426655
279,0.549873,0.429072
280,0.560632,0.431402
281,0.572623,0.43356
282,0.580233,0.435851
283,0.546824,0.438002
284,0.640416,0.440128
285,0.570837,0.442278
286,0.537942,0.444456
287,0.631641,0.446682
288,0.551671,0.44884
289,0.559546,0.450967
290,0.542267,0.453121
291,0.524574,0.455126
292,0.551337,0.457048
293,0.542436,0.458916
294,0.549329,0.4611
295,0.543735,0.463329
296,0.51286,0.465458
297,0.52825,0.467568
298,0.53639,0.469678
299,0.52009,0.471622
300,0.526436,0.473417
301,0.501627,0.475198
302,0.498169,0.477109
303,0.492643,0.47901
304,0.526033,0.48106
305,0.507439,0.483144
306,0.48864,0.485155
307,0.487099,0.487062
308,0.501046,0.488979
309,0.511912,0.490811
310,0.482496,0.492627
311,0.475699,0.494343
312,0.473439,0.496056
313,0.533876,0.497738
314,0.485245,0.499503
315,0.501552,0.501203
316,0.526235,0.502834
317,0.582411,0.504427
318,0.475559,0.506058
319,0.466955,0.507551
320,0.482612,0.509106
321,0.468855,0.510711
322,0.490901,0.512169
323,0.493361,0.513713
324,0.48729,0.515296
325,0.479756,0.516947
326,0.487426,0.518737
327,0.500903,0.520445
328,0.46707,0.521979
329,0.47544,0.523418
330,0.468558,0.524827
331,0.478077,0.526278
332,0.47698,0.527709
333,0.466657,0.52917
334,0.439413,0.530617
335,0.553711,0.53212
336,0.438372,0.533623
337,0.450887,0.535041
338,0.435316,0.536297
339,0.431043,0.537556
340,0.431737,0.538767
341,0.455463,0.539981
342,0.438694,0.54135
343,0.427598,0.542488
344,0.537665,0.543613
345,0.447849,0.544668
346,0.461609,0.545839
347,0.444622,0.547189
348,0.44241,0.548634
349,0.458985,0.550121
350,0.430288,0.551688
351,0.415288,0.553107
352,0.411298,0.554397
353,0.42432,0.55567
354,0.475763,0.556806
355,0.427529,0.557986
356,0.446306,0.559059
357,0.447262,0.560082
358,0.52787,0.56115
359,0.443798,0.562363
360,0.401354,0.563629
361,0.446747,0.564991
362,0.521909,0.566358
363,0.401247,0.567784
364,0.423339,0.569128
365,0.432527,0.570431
366,0.512078,0.571572
367,0.429097,0.572618
368,0.412255,0.573509
369,0.448459,0.574413
370,0.412949,0.575312
371,0.422558,0.576103
372,0.408856,0.576836
373,0.410618,0.577414
374,0.40933,0.57801
375,0.401714,0.578646
376,0.405908,0.579079
377,0.39389,0.579559
378,0.437636,0.580209
379,0.425533,0.580998
380,0.392676,0.582081
381,0.499845,0.583472
382,0.389848,0.585122
383,0.387799,0.586471
384,0.405979,0.587959
385,0.403703,0.589516
386,0.392054,0.591038
387,0.390901,0.592364
388,0.399467,0.593555
389,0.409214,0.594725
390,0.386715,0.595695
391,0.405671,0.596552
392,0.482494,0.597426
393,0.360759,0.598262
394,0.388594,0.59902
395,0.414173,0.599938
396,0.377472,0.600872
397,0.47581,0.601787
398,0.354028,0.602643
399,0.381318,0.603391
400,0.371208,0.604066
401,0.37326,0.604732
402,0.383768,0.605497
403,0.376785,0.606386
404,0.396751,0.607188
405,0.377994,0.608097
406,0.370795,0.608977
407,0.365535,0.609641
408,0.433937,0.610224
409,0.432948,0.610982
410,0.377459,0.611894
411,0.375919,0.612808
412,0.404489,0.613671
413,0.361028,0.614553
414,0.359872,0.61539
415,0.358165,0.616207
416,0.343803,0.61697
417,0.367441,0.617874
418,0.387815,0.618718
419,0.351482,0.619566
420,0.40903,0.620389
421,0.363325,0.62126
422,0.353401,0.622083
423,0.352261,0.622979
424,0.461289,0.623939
425,0.360959,0.625013
426,0.347222,0.626009
427,0.355834,0.626877
428,0.357746,0.627493
429,0.411311,0.627996
430,0.349299,0.628523
431,0.338581,0.629133
432,0.394902,0.629724
433,0.361267,0.630356
434,0.392499,0.631222
435,0.447771,0.63207
436,0.344347,0.632906
437,0.378738,0.633548
438,0.333924,0.634264
439,0.342477,0.634994
440,0.349148,0.635612
441,0.383165,0.636363
442,0.440346,0.637053
443,0.338003,0.637738
444,0.374231,0.638284
445,0.335238,0.6389
446,0.340388,0.63935
447,0.339388,0.63993
448,0.31537,0.640622
449,0.314449,0.641383
450,0.434614,0.642211
451,0.36845,0.643066
452,0.367882,0.643934
453,0.366052,0.644838
454,0.349976,0.645726
455,0.328579,0.64662
456,0.395292,0.647353
457,0.324318,0.6481
458,0.320505,0.648779
459,0.340055,0.649397
460,0.318529,0.650036
461,0.302698,0.650601
462,0.33531,0.651097
463,0.354626,0.651545
464,0.299276,0.651955
465,0.312946,0.652301
466,0.322297,0.652606
467,0.326548,0.653042
468,0.427205,0.653397
469,0.374461,0.653846
470,0.350698,0.654522
471,0.387549,0.655278
472,0.307192,0.656095
473,0.384892,0.656843
474,0.328167,0.657584
475,0.327289,0.65828
476,0.326438,0.659061
477,0.36311,0.659739
478,0.361121,0.660346
479,0.34032,0.660842
480,0.352125,0.661181
481,0.289979,0.661492
482,0.328601,0.661914
483,0.299064,0.662674
484,0.335418,0.66341
485,0.333503,0.664323
486,0.296918,0.665308
487,0.35726,0.666134
488,0.295212,0.666892
489,0.318431,0.667533
490,0.343706,0.668172
491,0.349074,0.668699
492,0.310074,0.669194
493,0.348006,0.66967
494,0.290448,0.670169
495,0.311812,0.670638
496,0.316059,0.67115
497,0.370654,0.671709
498,0.369409,0.672316
499,0.305834,0.67292
500,0.304909,0.673556
501,0.335739,0.674215
502,0.34828,0.674788
503,0.337445,0.675337
504,0.306318,0.675797
505,0.331825,0.676268
506,0.358791,0.676675
507,0.333667,0.677013
508,0.303736,0.677296
509,0.327752,0.677653
510,0.326861,0.677985
511,0.309924,0.678351
512,0.325167,0.678847
513,0.328852,0.679354
514,0.294975,0.679841
515,0.321128,0.68045
516,0.279209,0.68099
517,0.325625,0.681543
518,0.313679,0.682037
519,0.315197,0.682635
520,0.408996,0.683095
521,0.307686,0.683717
522,0.32383,0.684447
523,0.274473,0.685162
524,0.292646,0.685829
525,0.305196,0.686336
526,0.322547,0.686757
527,0.322053,0.687207
528,0.283485,0.687738
529,0.290679,0.688234
530,0.304134,0.688715
531,0.293625,0.689298
532,0.317598,0.689748
533,0.350568,0.690294
534,0.299299,0.690915
535,0.278899,0.691518
536,0.291062,0.69201
537,0.332488,0.69237
538,0.310494,0.692744
539,0.26565,0.693157
540,0.286192,0.693595
541,0.297198,0.694098
542,0.291452,0.694643
543,0.290382,0.695115
544,0.311649,0.695496
545,0.282045,0.695904
546,0.292555,0.696285
547,0.28655,0.696634
548,0.344171,0.697006
549,0.260299,0.697447
550,0.327699,0.697921
551,0.276876,0.69847
552,0.271893,0.698971
553,0.324753,0.699493
554,0.255033,0.700062
555,0.268061,0.700563
556,0.273377,0.700992
557,0.27253,0.701375
558,0.281104,0.701747
559,0.249394,0.702103
560,0.306723,0.702389
561,0.247077,0.702769
562,0.304068,0.703085
563,0.277744,0.703483
564,0.302851,0.703836
565,0.259077,0.704264
566,0.270437,0.704653
567,0.265487,0.705105
568,0.264374,0.705608
569,0.312552,0.706133
570,0.303028,0.706645
571,0.286209,0.707184
572,0.27482,0.707721
573,0.284122,0.70821
574,0.257301,0.708667
575,0.298064,0.709054
576,0.280105,0.70938
577,0.333425,0.70962
578,0.256352,0.709812
579,0.331777,0.710009
580,0.264821,0.710159
581,0.292252,0.710412
582,0.328003,0.710632
583,0.240235,0.710812
584,0.324979,0.711148
585,0.285392,0.711393
586,0.269589,0.711877
587,0.273729,0.712447
588,0.306393,0.712987
589,0.266345,0.71357
590,0.280517,0.714109
591,0.285724,0.714575
592,0.2775,0.714923
593,0.303454,0.715273
594,0.249758,0.715601
595,0.305683,0.715895
596,0.25671,0.716285
597,0.22966,0.716644
598,0.299142,0.716969
599,0.228532,0.717356
