Epoch,Loss
1,0.914821
2,0.573266
3,0.504941
4,0.489899
5,0.475884
6,0.457767
7,0.432541
8,0.396891
9,0.348484
10,0.297927
11,0.256719
12,0.225141
13,0.201094
14,0.182855
15,0.169127
16,0.158672
17,0.150573
18,0.144155
19,0.138976
20,0.134716
21,0.131113
22,0.128028
23,0.125389
24,0.123086
25,0.121055
26,0.119249
27,0.117629
28,0.116146
29,0.1148
30,0.113569
31,0.112437
32,0.111391
33,0.110423
34,0.109526
35,0.108691
36,0.107908
37,0.107178
38,0.106489
39,0.105836
40,0.105216
41,0.104625
42,0.104061
43,0.103521
44,0.103004
45,0.102508
46,0.102031
47,0.101572
48,0.101129
49,0.100702
50,0.100288
51,0.0998877
52,0.0994993
53,0.0991225
54,0.0987564
55,0.0984004
56,0.0980538
57,0.0977165
58,0.0973881
59,0.0970678
60,0.0967549
61,0.0964492
62,0.0961503
63,0.0958577
64,0.0955711
65,0.0952902
66,0.0950147
67,0.0947444
68,0.0944791
69,0.0942185
70,0.0939627
71,0.0937114
72,0.0934644
73,0.0932213
74,0.092982
75,0.0927463
76,0.092514
77,0.0922851
78,0.0920593
79,0.0918365
80,0.0916166
81,0.0913996
82,0.0911852
83,0.0909733
84,0.090764
85,0.0905571
86,0.0903527
87,0.0901516
88,0.0899526
89,0.0897558
90,0.0895609
91,0.0893667
92,0.0891678
93,0.0889708
94,0.0887756
95,0.0885821
96,0.0883902
97,0.0882
98,0.0880113
99,0.0878242
100,0.0876385
101,0.0874543
102,0.0872714
103,0.0870903
104,0.0869107
105,0.0867324
106,0.0865582
107,0.0863857
108,0.0862145
109,0.0860445
110,0.0858758
111,0.0857088
112,0.0855429
113,0.0853781
114,0.0852144
115,0.085052
116,0.0848908
117,0.0847282
118,0.0845673
119,0.0844075
120,0.0842486
121,0.0840907
122,0.0839337
123,0.0837777
124,0.0836225
125,0.0834683
126,0.0833149
127,0.0831625
128,0.0830109
129,0.0828601
130,0.0827102
131,0.0825611
132,0.0824132
133,0.0822678
134,0.0821232
135,0.0819793
136,0.0818363
137,0.0816939
138,0.0815525
139,0.0814124
140,0.0812732
141,0.0811347
142,0.080997
143,0.0808599
144,0.0807234
145,0.0805877
146,0.0804526
147,0.0803182
148,0.0801846
149,0.0800519
150,0.0799204
151,0.0797901
152,0.0796605
153,0.0795318
154,0.0794042
155,0.0792776
156,0.0791531
157,0.0790291
158,0.0789056
159,0.0787828
160,0.0786605
161,0.0785388
162,0.0784177
163,0.0782972
164,0.0781771
165,0.0780576
166,0.0779386
167,0.0778201
168,0.0777024
169,0.0775875
170,0.0774748
171,0.0773656
172,0.0772574
173,0.0771497
174,0.0770425
175,0.0769359
176,0.0768298
177,0.0767242
178,0.0766194
179,0.0765151
180,0.0764114
181,0.0763082
182,0.0762058
183,0.0761047
184,0.0760041
185,0.075904
186,0.0758044
187,0.0757053
188,0.0756066
189,0.0755085
190,0.0754111
191,0.0753175
192,0.0752252
193,0.0751334
194,0.0750424
195,0.0749541
196,0.0748662
197,0.0747788
198,0.0746918
199,0.0746052
200,0.0745192
201,0.0744335
202,0.0743483
203,0.0742636
204,0.0741792
205,0.0740951
206,0.0740114
207,0.073928
208,0.0738452
209,0.0737627
210,0.0736807
211,0.0735991
212,0.0735184
213,0.0734384
214,0.0733595
215,0.0732809
216,0.0732027
217,0.073125
218,0.0730476
219,0.0729706
220,0.0728941
221,0.0728179
222,0.0727422
223,0.0726668
224,0.0725918
225,0.0725172
226,0.0724432
227,0.0723698
228,0.072299
229,0.0722297
230,0.0721607
231,0.0720922
232,0.0720241
233,0.0719585
234,0.0718932
235,0.0718283
236,0.0717637
237,0.0717017
238,0.07164
239,0.0715786
240,0.0715176
241,0.071457
242,0.0713967
243,0.0713368
244,0.0712772
245,0.071218
246,0.0711605
247,0.071104
248,0.0710488
