Iterations,Error
457,0.387944
458,0.387944
459,0.387944
460,0.387944
461,0.387944
462,0.387945
463,0.387945
464,0.387945
465,0.387945
466,0.387945
467,0.387945
468,0.387945
469,0.387945
470,0.387945
471,0.387945
472,0.387946
473,0.387946
474,0.387946
475,0.387946
476,0.387946
477,0.387946
478,0.387946
479,0.387946
480,0.387946
481,0.387946
482,0.387947
483,0.387947
484,0.387947
485,0.387947
486,0.387947
487,0.387947
488,0.387947
489,0.387947
490,0.387947
491,0.387947
492,0.387948
493,0.387948
494,0.387948
495,0.387948
496,0.387948
497,0.387948
498,0.387948
499,0.387948
500,0.387948
501,0.387948
502,0.387949
503,0.387949
504,0.387949
505,0.387949
506,0.387949
507,0.387949
508,0.387949
509,0.387949
510,0.387949
511,0.387949
512,0.387949
513,0.38795
514,0.38795
515,0.38795
516,0.38795
517,0.38795
518,0.38795
519,0.38795
520,0.38795
521,0.38795
522,0.38795
523,0.387951
524,0.387951
525,0.387951
526,0.387951
527,0.387951
528,0.387951
529,0.387951
530,0.387951
531,0.387951
532,0.387951
533,0.387952
534,0.387952
535,0.387952
536,0.387952
537,0.387952
538,0.387952
539,0.387952
540,0.387952
541,0.387952
542,0.387952
543,0.387953
544,0.387953
545,0.387953
546,0.387953
547,0.387953
548,0.387953
549,0.387953
550,0.387953
551,0.387953
552,0.387953
553,0.387954
554,0.387954
555,0.387954
556,0.387954
557,0.387954
558,0.387954
559,0.387954
560,0.387954
561,0.387954
562,0.387954
563,0.387955
564,0.387955
565,0.387955
566,0.387955
567,0.387955
568,0.387955
569,0.387955
570,0.387955
571,0.387955
572,0.387955
573,0.387956
574,0.387956
575,0.387956
576,0.387956
577,0.387956
578,0.387956
579,0.387956
580,0.387956
581,0.387956
582,0.387956
583,0.387957
584,0.387957
585,0.387957
586,0.387957
587,0.387957
588,0.387957
589,0.387957
590,0.387957
591,0.387957
592,0.387957
593,0.387957
594,0.387958
595,0.387958
596,0.387958
597,0.387958
598,0.387958
599,0.387958
600,0.387958
601,0.387958
602,0.387958
603,0.387958
604,0.387959
605,0.387959
606,0.387959
607,0.387959
608,0.387959
609,0.387959
610,0.387959
611,0.387959
612,0.387959
613,0.387959
614,0.38796
615,0.38796
616,0.38796
617,0.38796
618,0.38796
619,0.38796
620,0.38796
621,0.38796
622,0.38796
623,0.38796
624,0.387961
625,0.387961
626,0.387961
627,0.387961
628,0.387961
629,0.387961
630,0.387961
631,0.387961
632,0.387961
633,0.387961
634,0.387961
635,0.387962
636,0.387962
637,0.387962
638,0.387962
639,0.387962
640,0.387962
641,0.387962
642,0.387962
643,0.387962
644,0.387962
645,0.387963
646,0.387963
647,0.387963
648,0.387963
649,0.387963
650,0.387963
651,0.387963
652,0.387963
653,0.387963
654,0.387963
655,0.387964
656,0.387964
657,0.387964
658,0.387964
659,0.387964
660,0.387964
661,0.387964
662,0.387964
663,0.387964
664,0.387964
665,0.387964
666,0.387965
667,0.387965
668,0.387965
669,0.387965
670,0.387965
671,0.387965
672,0.387965
673,0.387965
674,0.387965
675,0.387965
676,0.387966
677,0.387966
678,0.387966
679,0.387966
680,0.387966
681,0.387966
682,0.387966
683,0.387966
684,0.387966
685,0.387966
686,0.387967
687,0.387967
688,0.387967
689,0.387967
690,0.387967
691,0.387967
692,0.387967
693,0.387967
694,0.387967
695,0.387967
696,0.387967
697,0.387968
698,0.387968
699,0.387968
700,0.387968
701,0.387968
702,0.387968
703,0.387968
704,0.387968
705,0.387968
706,0.387968
707,0.387969
708,0.387969
709,0.387969
710,0.387969
711,0.387969
712,0.387969
713,0.387969
714,0.387969
715,0.387969
716,0.387969
717,0.387969
718,0.38797
719,0.38797
720,0.38797
721,0.38797
722,0.38797
723,0.38797
724,0.38797
725,0.38797
726,0.38797
727,0.38797
728,0.387971
729,0.387971
730,0.387971
731,0.387971
732,0.387971
733,0.387971
734,0.387971
735,0.387971
736,0.387971
737,0.387971
738,0.387971
739,0.387972
740,0.387972
741,0.387972
742,0.387972
743,0.387972
744,0.387972
745,0.387972
746,0.387972
747,0.387972
748,0.387972
749,0.387973
750,0.387973
751,0.387973
752,0.387973
753,0.387973
754,0.387973
755,0.387973
756,0.387973
757,0.387973
758,0.387973
759,0.387973
760,0.387974
761,0.387974
762,0.387974
763,0.387974
764,0.387974
765,0.387974
766,0.387974
767,0.387974
768,0.387974
769,0.387974
770,0.387975
771,0.387975
772,0.387975
773,0.387975
774,0.387975
775,0.387975
776,0.387975
777,0.387975
778,0.387975
779,0.387975
780,0.387975
781,0.387976
782,0.387976
783,0.387976
784,0.387976
785,0.387976
786,0.387976
787,0.387976
788,0.387976
789,0.387976
790,0.387976
791,0.387977
792,0.387977
793,0.387977
794,0.387977
795,0.387977
796,0.387977
797,0.387977
798,0.387977
799,0.387977
800,0.387977
801,0.387977
802,0.387978
803,0.387978
804,0.387978
805,0.387978
806,0.387978
807,0.387978
808,0.387978
809,0.387978
810,0.387978
811,0.387978
812,0.387978
813,0.387979
814,0.387979
815,0.387979
816,0.387979
817,0.387979
818,0.387979
819,0.387979
820,0.387979
821,0.387979
822,0.387979
823,0.38798
824,0.38798
825,0.38798
826,0.38798
827,0.38798
828,0.38798
829,0.38798
830,0.38798
831,0.38798
832,0.38798
833,0.38798
834,0.387981
835,0.387981
836,0.387981
837,0.387981
838,0.387981
839,0.387981
840,0.387981
841,0.387981
842,0.387981
843,0.387981
844,0.387981
845,0.387982
846,0.387982
847,0.387982
848,0.387982
849,0.387982
850,0.387982
851,0.387982
852,0.387982
853,0.387982
854,0.387982
855,0.387983
856,0.387983
857,0.387983
858,0.387983
859,0.387983
860,0.387983
861,0.387983
862,0.387983
863,0.387983
864,0.387983
865,0.387983
866,0.387984
867,0.387984
868,0.387984
869,0.387984
870,0.387984
871,0.387984
872,0.387984
873,0.387984
874,0.387984
875,0.387984
876,0.387984
877,0.387985
878,0.387985
879,0.387985
880,0.387985
881,0.387985
882,0.387985
883,0.387985
884,0.387985
885,0.387985
886,0.387985
887,0.387985
888,0.387986
889,0.387986
890,0.387986
891,0.387986
892,0.387986
893,0.387986
894,0.387986
895,0.387986
896,0.387986
897,0.387986
898,0.387986
899,0.387987
900,0.387987
901,0.387987
902,0.387987
903,0.387987
904,0.387987
905,0.387987
906,0.387987
907,0.387987
908,0.387987
909,0.387988
910,0.387988
911,0.387988
912,0.387988
913,0.387988
914,0.387988
915,0.387988
916,0.387988
917,0.387988
918,0.387988
919,0.387988
920,0.387989
921,0.387989
922,0.387989
923,0.387989
924,0.387989
925,0.387989
926,0.387989
927,0.387989
928,0.387989
929,0.387989
930,0.387989
931,0.38799
932,0.38799
933,0.38799
934,0.38799
935,0.38799
936,0.38799
937,0.38799
938,0.38799
939,0.38799
940,0.38799
941,0.38799
942,0.387991
943,0.387991
944,0.387991
945,0.387991
946,0.387991
947,0.387991
948,0.387991
949,0.387991
950,0.387991
951,0.387991
952,0.387991
953,0.387992
954,0.387992
955,0.387992
956,0.387992
